Cluster_ID,Centroid_Latitude,Centroid_Longitude,Incident_Count
0,14.789273463213872,101.55358726565197,639
1,13.73154834894175,100.6114163060194,10704
2,7.198805025012062,100.59483910229895,67
3,13.6693951142922,100.40880716058999,9242
4,16.852663637889545,100.29935082444533,77
5,14.035836334209415,100.63352199317643,4143
6,13.442030858270071,101.01076266617926,862
7,11.477670785413057,99.59482579146072,35
8,7.946887017470094,98.35996877128231,66
9,13.801482626374852,100.6518150003468,7316
10,16.076106705932332,102.51105309736536,84
11,13.732619935123866,100.73705005929865,5572
12,14.83791089110267,101.96580637330534,133
13,12.794374093649852,101.20838505547012,256
14,13.836260524095493,100.52832392398432,7999
15,14.495294582602027,100.90770146787571,425
16,13.657455419980524,100.63239545071671,6065
17,13.713394543960748,100.48819094401026,12494
18,14.027076478088249,100.31169336005942,414
19,18.46747811190275,99.28098328411566,36
20,12.645127294982434,99.91412158925208,143
21,12.256590246866999,102.55672127008,45
22,13.834360152312861,100.42012658560787,4124
23,14.63911303918917,101.23615661084798,1261
24,17.168770373040804,99.03383599675213,46
25,10.622253314431198,99.18037430373143,70
26,13.758172584627115,100.34143609568427,5600
27,13.912823081311016,100.58655963345362,7066
28,14.260355379860801,100.69094764409587,1397
29,13.599751593767696,100.73440805033684,2943
30,13.471310166960658,100.09070331753915,678
31,15.104664506607103,100.24194654206,58
32,13.803231355524414,100.06174988981537,559
33,13.919317172804996,100.48067845174513,4692
34,15.533684026201758,103.19475041652338,74
35,14.316681794533745,102.78163450264373,86
36,15.300106818129994,102.41584388971411,175
37,14.300252224040209,101.87017428095169,172
38,15.784311774674002,101.29360064864,29
39,13.772954827431498,100.46688401755407,9524
40,13.819642769991418,100.78952133446316,3062
41,17.092882,102.386093,12
42,14.308651927619545,99.93435541917353,147
43,13.828311062642015,100.57600293390206,12016
44,13.657415361648578,100.52020533741084,5486
45,13.750547066137283,100.54646771755073,15771
46,13.597040759023649,100.89784511470525,1394
47,13.896307419655425,100.68186391282174,4523
48,13.574826389883821,100.30268049840002,1611
49,13.027204515216674,100.9558243781677,365
